"Index","Potato_Kc","Potato_RD","DryRice_Kc","DryRice_RD"
219,0.73,0.8106,0.9,0.7
220,0.73,0.8106,0.9,0.7
221,0.73,0.8106,0.9,0.7
222,0.73,0.8106,0.9,0.7
223,0.73,0.8106,0.9,0.7
224,0.73,0.8106,0.9,0.7
225,0.73,0.8106,0.9,0.7
226,0.73,0.8106,0.9,0.7
227,0.73,0.8106,0.9,0.7
228,0.73,0.8106,0.9,0.7
229,0.73,0.8106,0.9,0.7
230,0.73,0.8106,0.9,0.7
231,0.73,0.8106,0.9,0.7
232,0.73,0.8106,0.9,0.7
233,0.73,0.8106,0.9,0.7
234,0.73,0.8106,0.9,0.7
235,0.73,0.8106,0.9,0.7
236,0.73,0.8106,0.9,0.7
237,0.73,0.8106,0.9,0.7
238,0.73,0.8106,0.9,0.7
239,0.73,0.8106,0.9,0.7
240,0.73,0.8106,0.9,0.7
241,0.73,0.8106,0.9,0.7
242,0.73,0.8106,0.9,0.7
243,0.73,0.8106,0.9,0.7
244,0.73,0.8106,0.9,0.7
245,0.73,0.8106,0.9,0.7
246,0.73,0.8106,0.9,0.7
247,0.73,0.8106,0.9,0.7
248,0.73,0.8106,0.9,0.7
249,0.73,0.8106,0.9,0.7
250,0.73,0.8106,0.9,0.7
251,0.73,0.8106,0.9,0.7
252,0.73,0.8106,0.9,0.7
253,0.73,0.8106,0.9,0.7
254,0.73,0.8106,0.9,0.7
255,0.73,0.8106,0.9,0.7
256,0.73,0.8106,0.9,0.7
257,0.73,0.8106,0.9,0.7
258,0.73,0.8106,0.9,0.7
259,0.73,0.8106,0.9,0.7
260,0.73,0.8106,0.9,0.7
261,0.73,0.8106,0.9,0.7
262,0.73,0.8106,0.9,0.7
263,0.73,0.8106,0.9,0.7
264,0.73,0.8106,0.9,0.7
265,0.73,0.8106,0.9,0.7
266,0.73,0.8106,0.9,0.7
267,0.73,0.8106,0.9,0.7
268,0.73,0.8106,0.9,0.7
269,0.73,0.8106,0.9,0.7
270,0.73,0.8106,0.9,0.7
271,0.73,0.8106,0.9,0.7
272,0.73,0.8106,0.9,0.7
273,0.73,0.8106,0.9,0.7
274,0.73,0.8106,0.9,0.7
275,0.73,0.8106,0.9,0.7
276,0.73,0.8106,0.9,0.7
277,0.73,0.8106,0.9,0.7
278,0.73,0.8106,0.9,0.7
279,0.73,0.8106,0.9,0.7
280,0.73,0.8106,0.9,0.7
281,0.73,0.8106,0.9,0.7
282,0.73,0.8106,0.9,0.7
283,0.73,0.8106,0.9,0.7
284,0.73,0.8106,0.9,0.7
285,0.73,0.8106,0.9,0.7
286,0.73,0.8106,0.9,0.7
287,0.73,0.8106,0.9,0.7
288,0.73,0.8106,0.9,0.7
289,0.73,0.8106,0.9,0.7
290,0.73,0.8106,0.9,0.7
291,0.73,0.8106,0.9,0.7
292,0.73,0.8106,0.9,0.7
293,0.73,0.8106,0.9,0.7
294,0.73,0.8106,0.9,0.7
295,0.73,0.8106,0.9,0.7
296,0.73,0.8106,0.9,0.7
297,0.73,0.8106,0.9,0.7
298,0.73,0.8106,0.9,0.7
299,0.73,0.8106,0.9,0.7
300,0.73,0.8106,0.9,0.7
